first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Ben,Foster,0,0,3420,64,10.1,904.6,17.0,93.5,9,0,1,49
Pontus,Dahlberg,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Abdoulaye,Doucouré,4,4,3156,61,539.0,529.6,667.0,173.4,10,0,9,54
Roberto,Pereyra,3,0,1641,27,293.4,237.8,350.0,88.0,5,0,4,56
Will,Hughes,1,1,2249,46,413.1,352.2,270.0,103.6,5,0,9,53
Tom,Cleverley,1,0,964,26,219.2,174.8,221.0,61.6,1,0,2,48
Ken,Sema,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,47
Etienne,Capoue,0,4,2627,48,313.6,482.8,102.0,90.0,8,0,8,48
Nathaniel,Chalobah,0,1,919,14,130.3,162.2,55.0,34.5,2,0,1,44
Domingos,Quina,0,0,18,2,0.8,7.4,7.0,1.5,0,0,0,43
Craig,Dawson,2,0,2359,49,67.5,550.6,403.0,102.1,4,0,6,48
Danny,Welbeck,2,1,813,15,51.5,128.2,350.0,53.0,1,0,0,58
Heurelho da Silva,Gomes,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Ismaïla,Sarr,5,7,2023,35,391.9,392.0,637.0,142.2,6,0,1,59
Dimitri,Foulquier,0,0,57,6,1.0,8.0,0.0,1.0,0,0,0,39
Ayotomiwa,Dele-Bashiru,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
João Pedro,Junqueira de Jesus,0,0,22,1,6.4,4.2,8.0,1.7,0,0,0,48
Ignacio,Pussetto,0,0,67,3,5.0,29.4,2.0,3.6,0,0,1,46
Adalberto,Peñaranda,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Aaron,Cresswell,3,0,2727,51,441.0,535.4,180.0,115.9,5,0,7,45
Angelo,Ogbonna,2,0,2786,44,37.8,579.0,168.0,78.4,7,0,4,45
Arthur,Masuaku,0,1,930,18,128.6,240.8,53.0,42.4,2,1,4,41
Pablo,Zabaleta,0,0,588,14,50.5,110.4,12.0,17.4,0,0,2,41
