first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards
Jordi,Amat,0,0,1409,36,29.2,332.2,106,46.8,2,0,5
Federico,Fern�ndez,0,1,2430,41,38.2,579.4,206,82.9,6,0,7
Franck,Tabanou,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Stephen,Kingsley,0,0,1036,20,106.8,140.2,15,26.2,3,0,0
Mike,van der Hoorn,1,0,662,20,1.2,191.6,50,24.3,1,0,1
Jack,Cork,0,1,2232,51,222.0,331.2,168,71.6,3,0,7
Gylfi,Sigurdsson,9,13,3327,70,1302.7,905.4,1074,328.3,7,0,2
Wayne,Routledge,3,2,1917,42,428.5,273.2,355,105.5,5,0,1
Leon,Britton,0,0,1163,24,72.8,127.8,10,21.2,5,0,3
Jay,Fulton,0,0,690,15,53.3,85.4,47,18.7,3,0,2
Sung-yueng,Ki,0,1,1291,28,210.9,160.4,77,44.4,4,0,3
Jefferson,Montero,0,1,380,9,134.3,82.4,99,31.5,0,0,0
Andr�,Ayew,6,3,1439,25,233.4,324.4,505,105.6,6,0,1
Leroy,Fer,6,2,2405,49,333.9,507.6,443,128.3,4,0,9
Nathan,Dyer,0,1,214,11,57.5,40.0,48,14.6,0,0,0
Baf�timbi,Gomis,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Marvin,Emnes,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Modou,Barrow,0,2,1145,23,332.7,153.6,223,70.5,4,0,1
Hugo,Lloris,0,0,3004,24,20.0,664.6,2,68.7,15,0,0
Michel,Vorm,0,0,416,2,0.0,70.4,0,6.9,2,0,0
Toby,Alderweireld,1,0,2601,17,102.2,618.4,363,108.6,14,0,1
Danny,Rose,2,3,1530,11,371.5,387.4,237,99.6,8,0,8
Kyle,Walker,0,6,2701,21,570.5,564.0,264,140.2,14,0,8
Jan,Vertonghen,0,0,2894,21,121.1,790.8,138,105.1,15,0,5
Ben,Davies,1,3,1739,13,449.6,452.0,156,105.8,8,0,1
Kieran,Trippier,0,5,568,3,185.6,183.8,35,40.6,3,0,1
Kevin,Wimmer,0,0,357,4,14.4,39.4,0,5.4,0,0,3
DeAndre,Yedlin,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Eric,Dier,2,0,3043,24,223.8,663.6,315,120.7,16,0,6
Mousa,Demb�l�,1,2,2056,17,409.7,407.2,121,94.2,11,0,5
Nacer,Chadli,5,6,2135,32,538.8,412.0,543,148.7,6,0,2
Erik,Lamela,1,1,595,2,275.2,121.8,225,62.2,4,0,1
Christian,Eriksen,8,20,3159,24,1679.2,974.6,1244,389.7,16,0,0
Nabil,Bentaleb,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Ryan,Mason,1,0,927,27,149.6,116.0,137,39.8,0,0,4
Tom,Carroll,1,2,1389,18,268.2,253.8,86,61.0,5,0,1
Bamidele,Alli,18,11,3036,22,778.7,969.6,1270,301.7,17,0,4
Joshua,Onomah,0,0,22,0,4.4,7.4,18,3.0,0,0,0
Victor,Wanyama,4,2,3012,25,486.0,609.6,480,157.7,12,0,10
Alex,Pritchard,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Heung-Min,Son,14,9,2063,18,642.3,753.4,1161,255.6,10,0,2
Harry,Kane,29,7,2523,19,548.4,1279.0,1530,336.0,14,0,3
Clinton,N'Jie,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Vincent,Janssen,2,3,845,8,241.3,158.0,501,89.4,3,0,0
Costel,Pantilimon,0,0,83,4,0.0,41.6,0,4.1,0,0,0
Heurelho,Gomes,0,0,3337,64,10.0,834.4,0,84.4,7,0,1
Craig,Cathcart,0,1,1162,21,61.7,225.2,45,33.2,2,0,3
Sebastian,Pr�dl,1,2,2770,49,111.3,624.0,302,103.8,5,1,10
Juan Carlos,Paredes,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Jos�,Holebas,2,4,2905,61,567.6,666.8,211,144.6,7,0,14
