first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,element_type
Conor,Hourihane,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49,MID
Emiliano,Martínez,0,0,3240,48,0.0,755.8,0.0,75.4,11,0,4,55,GK
Björn,Engels,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,DEF
Bertrand,Traoré,0,1,212,3,10.6,21.0,90.0,11.8,0,0,0,57,MID
Morgan,Sanson,0,0,349,8,36.6,52.8,3.0,9.4,0,0,0,50,MID
John,McGinn,3,4,3090,48,777.4,692.8,307.0,177.8,10,0,8,56,MID
Kortney,Hause,1,0,397,9,5.9,102.8,64.0,17.3,1,0,0,44,DEF
Mahmoud Ahmed,Ibrahim Hassan,0,0,10,1,2.0,1.8,10.0,1.4,0,0,0,54,MID
Tyrone,Mings,1,4,3188,49,130.9,649.2,309.0,108.8,11,0,11,50,DEF
Ollie,Watkins,11,3,2950,48,459.1,598.4,1319.0,237.7,10,0,7,75,FWD
Marvelous,Nakamba,0,0,899,20,42.1,134.0,0.0,17.8,2,0,5,44,MID
Emiliano,Buendía Stati,4,6,1887,32,659.3,479.4,531.0,167.3,7,0,1,61,MID
Matthew,Cash,4,3,3377,50,432.1,709.0,517.0,165.8,13,0,8,53,DEF
Ezri,Konsa Ngoyo,2,0,2477,43,56.5,428.2,251.0,73.4,8,2,4,49,DEF
Frédéric,Guilbert,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45,DEF
Wesley,Moraes,0,0,1,0,0.5,0.0,0.0,0.0,0,0,0,54,FWD
Mbwana Ally,Samatta,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,55,FWD
Keinan,Davis,0,0,11,0,1.0,0.4,0.0,0.1,0,0,0,45,FWD
Douglas Luiz,Soares de Paulo,2,3,2715,38,547.5,495.2,199.0,124.3,10,0,7,43,MID
Jacob,Ramsey,6,1,2465,35,333.1,533.8,432.0,130.2,12,0,6,47,MID
Ashley,Young,0,2,1234,19,201.9,187.4,113.0,50.2,4,0,2,47,DEF
